benchmark,layer,status,final_pearson,final_unceiled_pearson,final_r2,final_unceiled_r2,timestamp,results_file
NSDV1Shared,model.visual.blocks.0,missing,,,,,,/home/users/carsonml/cs375/bbscore_public/slurm_runs/qwen3_visual_sweep_20260315_135909/results/qwen3_vl_8b_img_model.visual.blocks.0_NSDV1Shared.pkl
NSDV1Shared,model.visual.blocks.6,missing,,,,,,/home/users/carsonml/cs375/bbscore_public/slurm_runs/qwen3_visual_sweep_20260315_135909/results/qwen3_vl_8b_img_model.visual.blocks.6_NSDV1Shared.pkl
NSDV1Shared,model.visual.blocks.12,missing,,,,,,/home/users/carsonml/cs375/bbscore_public/slurm_runs/qwen3_visual_sweep_20260315_135909/results/qwen3_vl_8b_img_model.visual.blocks.12_NSDV1Shared.pkl
NSDV1Shared,model.visual.blocks.18,missing,,,,,,/home/users/carsonml/cs375/bbscore_public/slurm_runs/qwen3_visual_sweep_20260315_135909/results/qwen3_vl_8b_img_model.visual.blocks.18_NSDV1Shared.pkl
NSDV1Shared,model.visual.blocks.24,missing,,,,,,/home/users/carsonml/cs375/bbscore_public/slurm_runs/qwen3_visual_sweep_20260315_135909/results/qwen3_vl_8b_img_model.visual.blocks.24_NSDV1Shared.pkl
NSDV1Shared,model.visual.blocks.26,missing,,,,,,/home/users/carsonml/cs375/bbscore_public/slurm_runs/qwen3_visual_sweep_20260315_135909/results/qwen3_vl_8b_img_model.visual.blocks.26_NSDV1Shared.pkl
NSDV2Shared,model.visual.blocks.0,missing,,,,,,/home/users/carsonml/cs375/bbscore_public/slurm_runs/qwen3_visual_sweep_20260315_135909/results/qwen3_vl_8b_img_model.visual.blocks.0_NSDV2Shared.pkl
NSDV2Shared,model.visual.blocks.6,missing,,,,,,/home/users/carsonml/cs375/bbscore_public/slurm_runs/qwen3_visual_sweep_20260315_135909/results/qwen3_vl_8b_img_model.visual.blocks.6_NSDV2Shared.pkl
NSDV2Shared,model.visual.blocks.12,missing,,,,,,/home/users/carsonml/cs375/bbscore_public/slurm_runs/qwen3_visual_sweep_20260315_135909/results/qwen3_vl_8b_img_model.visual.blocks.12_NSDV2Shared.pkl
NSDV2Shared,model.visual.blocks.18,missing,,,,,,/home/users/carsonml/cs375/bbscore_public/slurm_runs/qwen3_visual_sweep_20260315_135909/results/qwen3_vl_8b_img_model.visual.blocks.18_NSDV2Shared.pkl
